# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
8.443296000000000000e+21 1.419936484508757358e-26 1.992263875252962868e-11 2.258919333157553131e-09 1.442991059893698400e-02 2.252618012369465816e+01 6.844331790333046875e+12 8.335839927667599582e-06
8.517360000000000524e+21 1.419765951901352679e-26 1.992024606837092431e-11 2.291659142394700508e-09 1.442817758460437048e-02 2.252798388171495603e+01 7.012848328915502930e+12 8.335839927667599582e-06
8.591424000000000000e+21 1.419592983483135204e-26 1.991781920819137451e-11 2.324475405330767528e-09 1.442641981667703785e-02 2.252981377270358720e+01 7.183792563237800781e+12 8.335839927667599582e-06
8.665487999999999476e+21 1.419417574561063983e-26 1.991535810614454617e-11 2.357364376301760976e-09 1.442463724746260133e-02 2.253166986214397127e+01 7.357170016795876953e+12 8.335839927667599582e-06
8.739552000000000000e+21 1.419239720734814530e-26 1.991286270049099670e-11 2.390322334195964969e-09 1.442282983224335915e-02 2.253355221269421449e+01 7.532985936661861328e+12 8.335839927667599582e-06
8.813616000000000524e+21 1.419059417896776807e-26 1.991033293359827076e-11 2.423345583087503406e-09 1.442099752927628736e-02 2.253546088418562121e+01 7.711245295396147461e+12 8.335839927667599582e-06
8.887680000000000000e+21 1.418876662232056664e-26 1.990776875194090679e-11 2.456430452852625921e-09 1.441914029979304498e-02 2.253739593362115556e+01 7.891952792509052734e+12 8.335839927667599582e-06
8.961743999999999476e+21 1.418691450218475838e-26 1.990517010610043697e-11 2.489573299768758696e-09 1.441725810799997579e-02 2.253935741517370417e+01 8.075112856792231445e+12 8.335839927667599582e-06
9.035808000000000000e+21 1.418503778622048766e-26 1.990253695070192696e-11 2.522770507096246114e-09 1.441535092103214503e-02 2.254134538023218326e+01 8.260729648290613281e+12 8.335839927667599582e-06
9.109872000000000524e+21 1.418313644486827877e-26 1.989986924427149080e-11 2.556018485642846104e-09 1.441341870885013733e-02 2.254335987750723191e+01 8.448807059921137695e+12 8.335839927667599582e-06
9.183936000000000000e+21 1.418121045147074953e-26 1.989716694940708758e-11 2.589313674310959334e-09 1.441146144436375627e-02 2.254540095290031232e+01 8.639348719985485352e+12 8.335839927667599582e-06
9.257999999999999476e+21 1.417925978213088611e-26 1.989443003257962649e-11 2.622652540627632367e-09 1.440947910328797994e-02 2.254746864965175490e+01 8.832357994175294922e+12 8.335839927667599582e-06
9.332064000000000000e+21 1.417728441570151932e-26 1.989165846411825851e-11 2.656031581257350085e-09 1.440747166413229412e-02 2.254956300834981420e+01 9.027837987354265625e+12 8.335839927667599582e-06
9.406128000000000524e+21 1.417528433378534466e-26 1.988885221821035056e-11 2.689447322497677760e-09 1.440543910820068704e-02 2.255168406692837024e+01 9.225791546233033203e+12 8.335839927667599582e-06
9.480192000000000000e+21 1.417325952073491946e-26 1.988601127290151784e-11 2.722896320757809029e-09 1.440338141959165638e-02 2.255383186066459444e+01 9.426221261391316406e+12 8.335839927667599582e-06
9.554255999999999476e+21 1.417120996365264565e-26 1.988313561009559147e-11 2.756375163020054507e-09 1.440129858519819707e-02 2.255600642217645557e+01 9.629129469223234375e+12 8.335839927667599582e-06
9.628319999999998951e+21 1.416913565234339703e-26 1.988022521548813388e-11 2.789880467284366164e-09 1.439919059465965059e-02 2.255820778147040429e+01 9.834518254752617188e+12 8.335839927667599582e-06
9.702384000000000524e+21 1.416703657919738878e-26 1.987728007840212069e-11 2.823408882995968199e-09 1.439705744024267521e-02 2.256043596606304291e+01 1.004238945366563477e+13 8.335839927667599582e-06
9.776448000000000000e+21 1.416491273931981192e-26 1.987430019196982023e-11 2.856957091456171738e-09 1.439489911697299125e-02 2.256269100084081813e+01 1.025274465441025195e+13 8.335839927667599582e-06
9.850511999999999476e+21 1.416276413037809364e-26 1.987128555291847949e-11 2.890521806216492071e-09 1.439271562248015286e-02 2.256497290821931756e+01 1.046558520113129297e+13 8.335839927667599582e-06
9.924576000000001049e+21 1.416059075258974917e-26 1.986823616155327318e-11 2.924099773456137071e-09 1.439050695698520371e-02 2.256728170815335233e+01 1.068091219571492969e+13 8.335839927667599582e-06
9.998640000000000524e+21 1.415839260872235886e-26 1.986515202175731345e-11 2.957687772343011979e-09 1.438827312330066312e-02 2.256961741813399769e+01 1.089872650002396875e+13 8.335839927667599582e-06
1.007270400000000000e+22 1.415616970409359110e-26 1.986203314099162724e-11 2.991282615378328217e-09 1.438601412683053644e-02 2.257198005318552703e+01 1.111902873893519727e+13 8.335839927667599582e-06
1.014676799999999948e+22 1.415392204657118227e-26 1.985887953029517248e-11 3.024881148724967215e-09 1.438372997557030644e-02 2.257436962586223927e+01 1.134181930240282227e+13 8.335839927667599582e-06
1.022083199999999895e+22 1.415164964650112421e-26 1.985569120418404480e-11 3.058480252519712135e-09 1.438142068003394128e-02 2.257678614632153113e+01 1.156709834780297852e+13 8.335839927667599582e-06
