# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
6.887951999999999476e+21 1.447950925156767083e-26 2.031569970065898808e-11 1.595901024102796022e-09 1.471460352600819678e-02 2.223468269848471124e+01 3.853475547755275391e+12 2.148504918418746091e-06
6.962016000000000000e+21 1.447827795898959783e-26 2.031397211653820097e-11 1.626134210124968158e-09 1.471335224174185295e-02 2.223594330014036657e+01 3.972792959621553223e+12 2.148504918418746091e-06
7.036080000000000524e+21 1.447702360561913471e-26 2.031221217661550997e-11 1.656526878500450615e-09 1.471207752226019218e-02 2.223722769525831922e+01 4.094355493361195312e+12 2.148504918418746091e-06
7.110144000000000000e+21 1.447574607716508372e-26 2.031041972053287052e-11 1.687074944093764135e-09 1.471077925141634282e-02 2.223853601116484668e+01 4.218174809497057129e+12 2.148504918418746091e-06
7.184207999999999476e+21 1.447444526259419165e-26 2.030859459250337059e-11 1.717774329182357823e-09 1.470945731637427964e-02 2.223986837211206691e+01 4.344262266421708496e+12 2.148504918418746091e-06
7.258272000000000000e+21 1.447312105417876947e-26 2.030673664137799643e-11 1.748620964428224185e-09 1.470811160765720695e-02 2.224122489922999435e+01 4.472628920676094727e+12 2.148504918418746091e-06
7.332336000000000524e+21 1.447177334743246198e-26 2.030484572055555394e-11 1.779610789835314154e-09 1.470674201908229832e-02 2.224260571059305391e+01 4.603285527713662109e+12 2.148504918418746091e-06
7.406400000000000000e+21 1.447040204110521696e-26 2.030292168797559235e-11 1.810739755692494453e-09 1.470534844775556876e-02 2.224401092122589318e+01 4.736242542802876953e+12 2.148504918418746091e-06
7.480463999999999476e+21 1.446900703718328516e-26 2.030096440611838810e-11 1.842003823501769971e-09 1.470393079407187990e-02 2.224544064310389757e+01 4.871510121649418945e+12 2.148504918418746091e-06
7.554528000000000000e+21 1.446758824088920308e-26 2.029897374200497710e-11 1.873398966891543690e-09 1.470248896171493826e-02 2.224689498515360953e+01 5.009098121178884766e+12 2.148504918418746091e-06
7.628592000000000524e+21 1.446614556068182168e-26 2.029694956719710958e-11 1.904921172514672194e-09 1.470102285765729003e-02 2.224837405325300210e+01 5.149016100682370117e+12 2.148504918418746091e-06
7.702656000000000000e+21 1.446467890825627766e-26 2.029489175779729523e-11 1.936566440931104199e-09 1.469953239216033325e-02 2.224987795023168502e+01 5.291273322783810547e+12 2.148504918418746091e-06
7.776719999999999476e+21 1.446318819852896405e-26 2.029280019442765200e-11 1.968330787474893836e-09 1.469801747875901059e-02 2.225140677588635896e+01 5.435878754267667969e+12 2.148504918418746091e-06
7.850784000000000000e+21 1.446167334955169840e-26 2.029067476210952222e-11 2.000210243105390182e-09 1.469647803417460132e-02 2.225296062706881983e+01 5.582841067438689453e+12 2.148504918418746091e-06
7.924848000000000524e+21 1.446013428262021785e-26 2.028851535041566089e-11 2.032200855242434495e-09 1.469491397842496994e-02 2.225453959757453148e+01 5.732168641368668945e+12 2.148504918418746091e-06
7.998912000000000000e+21 1.445857092217875919e-26 2.028632185333639402e-11 2.064298688585381516e-09 1.469332523472761075e-02 2.225614377824022228e+01 5.883869562825804688e+12 2.148504918418746091e-06
8.072975999999999476e+21 1.445698319579966846e-26 2.028409416925097422e-11 2.096499825915807116e-09 1.469171172947890229e-02 2.225777325696448017e+01 6.037951627833942383e+12 2.148504918418746091e-06
8.147040000000000000e+21 1.445537103418338378e-26 2.028183220092757429e-11 2.128800368883736022e-09 1.469007339225411775e-02 2.225942811870726246e+01 6.194422343139618164e+12 2.148504918418746091e-06
8.221104000000000524e+21 1.445373437115845253e-26 2.027953585552332594e-11 2.161196438777283750e-09 1.468841015580741802e-02 2.226110844548934509e+01 6.353288927269305664e+12 2.148504918418746091e-06
8.295168000000000000e+21 1.445207314368151706e-26 2.027720504458425522e-11 2.193684177275571699e-09 1.468672195607185170e-02 2.226281431639159081e+01 6.514558312287758789e+12 2.148504918418746091e-06
8.369231999999999476e+21 1.445038729183732034e-26 2.027483968404534065e-11 2.226259747184827731e-09 1.468500873215935858e-02 2.226454580755412849e+01 6.678237145436560547e+12 2.148504918418746091e-06
8.443296000000000000e+21 1.444867675876524912e-26 2.027243969412741612e-11 2.258919333157553131e-09 1.468327042628611752e-02 2.226630299225084642e+01 6.844331790330310547e+12 2.148504918418746091e-06
8.517360000000000524e+21 1.444694149064016038e-26 2.027000499931028437e-11 2.291659142394700508e-09 1.468150698375306033e-02 2.226808594090810445e+01 7.012848328916233398e+12 2.148504918418746091e-06
8.591424000000000000e+21 1.444518143672819433e-26 2.026753552841101146e-11 2.324475405330767528e-09 1.467971835300259723e-02 2.226989472104623147e+01 7.183792563240776367e+12 2.148504918418746091e-06
8.665487999999999476e+21 1.444339654927494749e-26 2.026503121442705015e-11 2.357364376301760976e-09 1.467790448550496639e-02 2.227172939739319446e+01 7.357170016792773438e+12 2.148504918418746091e-06
8.739552000000000000e+21 1.444158678350456008e-26 2.026249199453492793e-11 2.390322334195964969e-09 1.467606533575730940e-02 2.227359003188422548e+01 7.532985936663052734e+12 2.148504918418746091e-06
8.813616000000000524e+21 1.443975209761972176e-26 2.025991781009028587e-11 2.423345583087503406e-09 1.467420086128368509e-02 2.227547668366038280e+01 7.711245295399291992e+12 2.148504918418746091e-06
8.887680000000000000e+21 1.443789245280167450e-26 2.025730860662786568e-11 2.456430452852625921e-09 1.467231102263505914e-02 2.227738940906699483e+01 7.891952792505576172e+12 2.148504918418746091e-06
8.961743999999999476e+21 1.443600781321020680e-26 2.025466433386150646e-11 2.489573299768758696e-09 1.467039578338930582e-02 2.227932826165198676e+01 8.075112856793939453e+12 2.148504918418746091e-06
9.035808000000000000e+21 1.443409814593765278e-26 2.025198494561958584e-11 2.522770507096246114e-09 1.466845511010445718e-02 2.228129329221140509e+01 8.260729648293784180e+12 2.148504918418746091e-06
9.109872000000000524e+21 1.443216342090551983e-26 2.024927039970002105e-11 2.556018485642846104e-09 1.466648897221365863e-02 2.228328454889394550e+01 8.448807059917331055e+12 2.148504918418746091e-06
9.183936000000000000e+21 1.443020361098838900e-26 2.024652065804406409e-11 2.589313674310959334e-09 1.466449734215106993e-02 2.228530207707150268e+01 8.639348719987700195e+12 2.148504918418746091e-06
9.257999999999999476e+21 1.442821869186965011e-26 2.024373568653393005e-11 2.622652540627632367e-09 1.466248019520527412e-02 2.228734591948557053e+01 8.832357994178351562e+12 2.148504918418746091e-06
9.332064000000000000e+21 1.442620864203084304e-26 2.024091545497779799e-11 2.656031581257350085e-09 1.466043750950842516e-02 2.228941611625614527e+01 9.027837987350189453e+12 2.148504918418746091e-06
9.406128000000000524e+21 1.442417344275164341e-26 2.023805993710983032e-11 2.689447322497677760e-09 1.465836926603625127e-02 2.229151270487947301e+01 9.225791546235689453e+12 2.148504918418746091e-06
9.480192000000000000e+21 1.442211307810986259e-26 2.023516911059015668e-11 2.722896320757809029e-09 1.465627544860804467e-02 2.229363572022575113e+01 9.426221261394169922e+12 2.148504918418746091e-06
9.554255999999999476e+21 1.442002753498145626e-26 2.023224295700488684e-11 2.756375163020054507e-09 1.465415604388667532e-02 2.229578519453664143e+01 9.629129469218949219e+12 2.148504918418746091e-06
9.628319999999998951e+21 1.441791680299229074e-26 2.022928146179842083e-11 2.789880467284366164e-09 1.465201104132956948e-02 2.229796115747242524e+01 9.834518254755623047e+12 2.148504918418746091e-06
9.702384000000000524e+21 1.441578087439896344e-26 2.022628461410626798e-11 2.823408882995968199e-09 1.464984043306760512e-02 2.230016363623224507e+01 1.004238945366826172e+13 2.148504918418746091e-06
9.776448000000000000e+21 1.441361974422073031e-26 2.022325240694011244e-11 2.856957091456171738e-09 1.464764421403916099e-02 2.230239265541544569e+01 1.025274465440579297e+13 2.148504918418746091e-06
9.850511999999999476e+21 1.441143341008405992e-26 2.022018483696973799e-11 2.890521806216492071e-09 1.464542238183217521e-02 2.230464823717901979e+01 1.046558520113456641e+13 2.148504918418746091e-06
9.924576000000001049e+21 1.440922187221028153e-26 2.021708190450568310e-11 2.924099773456137071e-09 1.464317493667157029e-02 2.230693040124755200e+01 1.068091219571738281e+13 2.148504918418746091e-06
9.998640000000000524e+21 1.440698513341557656e-26 2.021394361349922798e-11 2.957687772343011979e-09 1.464090188141924792e-02 2.230923916491034475e+01 1.089872650001933008e+13 2.148504918418746091e-06
1.007270400000000000e+22 1.440472319911097567e-26 2.021076997154241079e-11 2.991282615378328217e-09 1.463860322157409591e-02 2.231157454301833809e+01 1.111902873893868359e+13 2.148504918418746091e-06
1.014676799999999948e+22 1.440243607730236164e-26 2.020756098986800498e-11 3.024881148724967215e-09 1.463627896527198470e-02 2.231393654798098325e+01 1.134181930240523047e+13 2.148504918418746091e-06
1.022083199999999895e+22 1.440012377851737406e-26 2.020431668324698766e-11 3.058480252519712135e-09 1.463392912321148306e-02 2.231632518983850488e+01 1.156709834779811523e+13 2.148504918418746091e-06
1.029489600000000052e+22 1.439778631571507189e-26 2.020103706986174836e-11 3.092076841169489791e-09 1.463155370856205478e-02 2.231874047635198366e+01 1.179486580306328906e+13 2.148504918418746091e-06
1.036896000000000000e+22 1.439542370439249135e-26 2.019772217145566652e-11 3.125667863631768328e-09 1.462915273707235744e-02 2.232118241288991811e+01 1.202512136874116016e+13 2.148504918418746091e-06
1.044302399999999948e+22 1.439303596242711934e-26 2.019437201311201193e-11 3.159250303679281080e-09 1.462672622691013960e-02 2.232365100258761004e+01 1.225786452046267188e+13 2.148504918418746091e-06
1.051708800000000105e+22 1.439062311007171045e-26 2.019098662324673278e-11 3.192821180149189082e-09 1.462427419865698804e-02 2.232614624634911138e+01 1.249309451214430469e+13 2.148504918418746091e-06
1.059115200000000052e+22 1.438818516995429275e-26 2.018756603360842977e-11 3.226377547176886567e-09 1.462179667530832429e-02 2.232866814284370705e+01 1.273081037805988281e+13 2.148504918418746091e-06
